model,grade,error
o1-preview,5.208295454545454,0.05552061609503802
gemini_20_flash_exp,5.350140056022409,0.05779967843065518
opus,5.526988636363637,0.060132826644497546
grok2-12-12,5.546844894026975,0.060869866835990015
llama33_70b,5.562386363636364,0.05929523786869758
gemini_20_flash_thinking_exp,5.587431693989071,0.05961644341137803
sonnet-20241022,5.593193238921883,0.059773260674243364
gemma,5.627931034482758,0.06033775407271603
o1-mini,5.797303579730358,0.06249939915615831
haiku35,5.835096153846154,0.06397147343947965
mistral,5.859621828626137,0.064101821802991
gpt-4o_mini,5.882571996027806,0.06554016378961328
gemini_mini,5.913501144164759,0.0632541419506848
gemini,5.9253097751262045,0.0634676545734471
claude_mini,6.0197010869565215,0.07016750259695499
qwen,6.109831029185868,0.06912705934355413
llama,6.1690771349862255,0.066093882966843
deepseek,6.235891990291262,0.07680508691880233
gpt-4o,6.271888028588445,0.07653198057347638
