model,num_repeats,num_generated,pct_repeats
llama33_70b,0,2200,0.0
o1-preview,0,2200,0.0
gemini_20_flash_thinking_exp,4,2200,0.0018181818181818182
sonnet-20241022,11,2200,0.005
gemini_mini,15,2200,0.006818181818181818
gemini,21,2200,0.009545454545454546
llama,22,2200,0.01
gemma,25,2200,0.011363636363636364
o1-mini,49,2200,0.022272727272727274
gemini_20_flash_exp,58,2200,0.026363636363636363
opus,88,2200,0.04
mistral,111,2200,0.05045454545454545
haiku35,120,2200,0.05454545454545454
grok2-12-12,124,2200,0.056363636363636366
gpt-4o_mini,186,2200,0.08454545454545455
qwen,247,2200,0.11227272727272727
claude_mini,360,2200,0.16363636363636364
gpt-4o,521,2200,0.23681818181818182
deepseek,552,2200,0.2509090909090909
